experiment	freq
frozenset({nan, 'VX970_Berzosertib_M6620', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_MDAMB435', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'VX970_Berzosertib_M6620', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_MIAPACA2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_MV411', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_NCIH460', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_PANC1', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_RAMOS', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_SAOS2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_U2OS', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'VX970_Berzosertib_M6620', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_WSUNHL', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A204', 'LY2606368_Prexasertib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A549', 'LY2606368_Prexasertib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_ASPC1', 'LY2606368_Prexasertib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_BXPC3', 'LY2606368_Prexasertib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'LY2606368_Prexasertib', 'ONCOLEAD_CELL_COLO205'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_DU145', 'LY2606368_Prexasertib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'LY2606368_Prexasertib', 'ONCOLEAD_CELL_HEPG2'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_HL60', 'LY2606368_Prexasertib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'LY2606368_Prexasertib', 'ONCOLEAD_CELL_HT29'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_IGROV1', 'LY2606368_Prexasertib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_LOVO', 'LY2606368_Prexasertib'})	2
