experiment	freq
frozenset({nan, 'ONCOLEAD_CELL_SF295', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_SKBR3', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_SKLMS1', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_SKMEL28', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_SKMEL5', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_SUDHL10', 'M3814'})	4
frozenset({nan, 'ONCOLEAD_CELL_SUDHL6', 'M3814'})	4
frozenset({nan, 'M3814', 'ONCOLEAD_CELL_SW620'})	7
frozenset({nan, 'ONCOLEAD_CELL_T24', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_TE671', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_THP1', 'M3814'})	4
frozenset({nan, 'ONCOLEAD_CELL_U2OS', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_UMUC3', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_WSUNHL', 'M3814'})	6
frozenset({nan, 'ONCOLEAD_CELL_A204', 'Bleomycin'})	3
frozenset({nan, 'ONCOLEAD_CELL_A549', 'Bleomycin'})	3
